id_incidente,fecha,semana,dia_semana,turno,id_area,id_rol,tipo_incidente,descripcion_incidente,con_lesion,dias_perdidos
INC_000038,2024-12-22,6,Domingo,T2N,STM,PLC_ROL_02,ILEV,Incidente sintético tipo Incidente Leve con Lesión,True,3
INC_000039,2024-12-23,7,Lunes,T2N,STM,PLC_ROL_01,INMI,Incidente sintético tipo Incidente sin Lesión / Casi Incidente,False,0
INC_000040,2024-12-23,7,Lunes,T2N,MRA,MRA_ROL_02,INMI,Incidente sintético tipo Incidente sin Lesión / Casi Incidente,False,0
INC_000041,2024-12-24,7,Martes,T1D,STM,STM_ROL_02,IMED,Incidente sintético tipo Incidente Mediano con Lesión,True,7
INC_000042,2024-12-24,7,Martes,T1D,STM,TME_ROL_02,INMI,Incidente sintético tipo Incidente sin Lesión / Casi Incidente,False,0
INC_000043,2024-12-25,7,Miércoles,T2N,STM,STM_ROL_01,INMI,Incidente sintético tipo Incidente sin Lesión / Casi Incidente,False,0
INC_000044,2024-12-31,8,Martes,T1D,TME,STM_ROL_01,IMAY,Incidente sintético tipo Incidente Mayor con Lesión,True,21
INC_000045,2024-12-31,8,Martes,T2N,TME,TME_ROL_02,INMI,Incidente sintético tipo Incidente sin Lesión / Casi Incidente,False,0
INC_000046,2025-01-04,8,Sábado,T1D,STM,MRA_ROL_02,ILEV,Incidente sintético tipo Incidente Leve con Lesión,True,0
INC_000047,2025-01-05,8,Domingo,T1D,MRA,MRA_ROL_02,INMI,Incidente sintético tipo Incidente sin Lesión / Casi Incidente,False,0
INC_000048,2025-01-06,9,Lunes,T2N,MRA,TME_ROL_02,INMI,Incidente sintético tipo Incidente sin Lesión / Casi Incidente,False,0
INC_000049,2025-01-07,9,Martes,T1D,PLC,MRA_ROL_01,INMI,Incidente sintético tipo Incidente sin Lesión / Casi Incidente,False,0
INC_000050,2025-01-08,9,Miércoles,T2N,MRA,STM_ROL_01,INMI,Incidente sintético tipo Incidente sin Lesión / Casi Incidente,False,0
INC_000051,2025-01-08,9,Miércoles,T2N,STM,MRA_ROL_01,INMI,Incidente sintético tipo Incidente sin Lesión / Casi Incidente,False,0
INC_000052,2025-01-09,9,Jueves,T2N,PLC,TME_ROL_01,INMI,Incidente sintético tipo Incidente sin Lesión / Casi Incidente,False,0
INC_000053,2025-01-11,9,Sábado,T2N,MRA,PLC_ROL_02,ILEV,Incidente sintético tipo Incidente Leve con Lesión,True,0
INC_000054,2025-01-14,10,Martes,T1D,CHP,STM_ROL_02,INMI,Incidente sintético tipo Incidente sin Lesión / Casi Incidente,False,0
INC_000055,2025-01-17,10,Viernes,T1D,MRA,TME_ROL_02,ILEV,Incidente sintético tipo Incidente Leve con Lesión,True,0
INC_000056,2025-01-19,10,Domingo,T2N,MRA,TME_ROL_01,INMI,Incidente sintético tipo Incidente sin Lesión / Casi Incidente,False,0
INC_000057,2025-01-20,11,Lunes,T1D,STM,PLC_ROL_01,ILEV,Incidente sintético tipo Incidente Leve con Lesión,True,1
INC_000058,2025-01-22,11,Miércoles,T1D,PLC,TME_ROL_01,INMI,Incidente sintético tipo Incidente sin Lesión / Casi Incidente,False,0
INC_000059,2025-01-25,11,Sábado,T1D,CHP,TME_ROL_01,ILEV,Incidente sintético tipo Incidente Leve con Lesión,True,0
INC_000060,2025-01-28,12,Martes,T2N,TME,TME_ROL_02,INMI,Incidente sintético tipo Incidente sin Lesión / Casi Incidente,False,0
INC_000061,2025-01-29,12,Miércoles,T1D,CHP,CHP_ROL_01,INMI,Incidente sintético tipo Incidente sin Lesión / Casi Incidente,False,0
INC_000062,2025-01-30,12,Jueves,T2N,MRA,CHP_ROL_01,INMI,Incidente sintético tipo Incidente sin Lesión / Casi Incidente,False,0
INC_000063,2025-02-01,12,Sábado,T1D,MRA,PLC_ROL_01,INMI,Incidente sintético tipo Incidente sin Lesión / Casi Incidente,False,0
