id_observacion,fecha,semana,id_area,rol_observador_id,rol_observado_id,tarea_id,tipo_observacion,estado,riesgo_id,is_control_critico,control_critico_id
OBS_000036,2024-11-14,1,TME,TME_ROL_07,TME_ROL_07,TME_TA_005,OPG,OPG+,,False,
OBS_000037,2024-11-14,1,TME,TME_ROL_04,TME_ROL_04,TME_TA_002,OPG,OPG+,,False,
OBS_000038,2024-11-14,1,TME,TME_ROL_02,TME_ROL_02,TME_TA_007,OPG,OPG-,,False,
OBS_000042,2024-11-15,1,CHP,CHP_ROL_04,CHP_ROL_04,CHP_TA_018,OPG,OPG+,,False,
OBS_000043,2024-11-15,1,CHP,CHP_ROL_08,CHP_ROL_08,CHP_TA_017,OPG,OPG+,,False,
OBS_000044,2024-11-15,1,CHP,CHP_ROL_03,CHP_ROL_03,CHP_TA_015,OPG,OPG+,,False,
OBS_000942,2024-11-15,1,CHP,CHP_ROL_06,CHP_ROL_04,CHP_TA_011,OCC,OCC+,R02,True,R02CC01
OBS_000039,2024-11-15,1,MRA,MRA_ROL_07,MRA_ROL_07,MRA_TA_005,OPG,OPG+,,False,
OBS_000040,2024-11-15,1,MRA,MRA_ROL_04,MRA_ROL_04,MRA_TA_014,OPG,OPG+,,False,
OBS_000041,2024-11-15,1,MRA,MRA_ROL_08,MRA_ROL_08,MRA_TA_002,OPG,OPG+,,False,
OBS_000935,2024-11-15,1,MRA,MRA_ROL_01,MRA_ROL_06,MRA_TA_021,OCC,OCC-,R01,True,R01CC02
OBS_000045,2024-11-15,1,PLC,PLC_ROL_09,PLC_ROL_09,PLC_TA_012,OPG,OPG+,,False,
OBS_000046,2024-11-15,1,PLC,PLC_ROL_12,PLC_ROL_12,PLC_TA_009,OPG,OPG+,,False,
OBS_000047,2024-11-15,1,STM,STM_ROL_04,STM_ROL_04,STM_TA_009,OPG,OPG+,,False,
OBS_000937,2024-11-15,1,STM,STM_ROL_04,STM_ROL_01,STM_TA_013,OCC,OCC-,R01,True,R01CM03
OBS_000048,2024-11-15,1,TME,TME_ROL_05,TME_ROL_05,TME_TA_010,OPG,OPG+,,False,
OBS_000053,2024-11-16,1,CHP,CHP_ROL_02,CHP_ROL_02,CHP_TA_012,OPG,OPG+,,False,
OBS_000054,2024-11-16,1,CHP,CHP_ROL_05,CHP_ROL_05,CHP_TA_016,OPG,OPG+,,False,
OBS_000055,2024-11-16,1,CHP,CHP_ROL_09,CHP_ROL_09,CHP_TA_009,OPG,OPG+,,False,
OBS_000049,2024-11-16,1,MRA,MRA_ROL_08,MRA_ROL_08,MRA_TA_011,OPG,OPG+,,False,
OBS_000050,2024-11-16,1,MRA,MRA_ROL_05,MRA_ROL_05,MRA_TA_010,OPG,OPG+,,False,
OBS_000051,2024-11-16,1,MRA,MRA_ROL_07,MRA_ROL_07,MRA_TA_013,OPG,OPG+,,False,
OBS_000052,2024-11-16,1,MRA,MRA_ROL_03,MRA_ROL_03,MRA_TA_010,OPG,OPG-,,False,
OBS_000943,2024-11-16,1,MRA,MRA_ROL_04,MRA_ROL_08,MRA_TA_018,OCC,OCC-,R02,True,R02CM01
OBS_000056,2024-11-16,1,PLC,PLC_ROL_05,PLC_ROL_05,PLC_TA_005,OPG,OPG+,,False,
OBS_000057,2024-11-16,1,PLC,PLC_ROL_12,PLC_ROL_12,PLC_TA_019,OPG,OPG+,,False,
OBS_000058,2024-11-16,1,PLC,PLC_ROL_01,PLC_ROL_01,PLC_TA_017,OPG,OPG+,,False,
OBS_000059,2024-11-16,1,STM,STM_ROL_01,STM_ROL_01,STM_TA_004,OPG,OPG+,,False,
OBS_000060,2024-11-16,1,TME,TME_ROL_08,TME_ROL_08,TME_TA_004,OPG,OPG+,,False,
OBS_000061,2024-11-16,1,TME,TME_ROL_03,TME_ROL_03,TME_TA_001,OPG,OPG+,,False,
OBS_000062,2024-11-16,1,TME,TME_ROL_03,TME_ROL_03,TME_TA_014,OPG,OPG+,,False,
OBS_000066,2024-11-17,1,CHP,CHP_ROL_09,CHP_ROL_09,CHP_TA_002,OPG,OPG+,,False,
OBS_000063,2024-11-17,1,MRA,MRA_ROL_08,MRA_ROL_08,MRA_TA_021,OPG,OPG+,,False,
OBS_000064,2024-11-17,1,MRA,MRA_ROL_05,MRA_ROL_05,MRA_TA_011,OPG,OPG+,,False,
OBS_000065,2024-11-17,1,MRA,MRA_ROL_01,MRA_ROL_01,MRA_TA_003,OPG,OPG+,,False,
OBS_000067,2024-11-17,1,PLC,PLC_ROL_07,PLC_ROL_07,PLC_TA_006,OPG,OPG+,,False,
OBS_000068,2024-11-17,1,STM,STM_ROL_07,STM_ROL_07,STM_TA_016,OPG,OPG+,,False,
OBS_000949,2024-11-17,1,STM,STM_ROL_05,STM_ROL_02,STM_TA_007,OCC,OCC+,R03,True,R03CC03
OBS_000069,2024-11-17,1,TME,TME_ROL_05,TME_ROL_05,TME_TA_002,OPG,OPG-,,False,
OBS_000070,2024-11-17,1,TME,TME_ROL_02,TME_ROL_02,TME_TA_011,OPG,OPG+,,False,
OBS_000071,2024-11-17,1,TME,TME_ROL_08,TME_ROL_08,TME_TA_005,OPG,OPG+,,False,
OBS_000075,2024-11-18,2,CHP,CHP_ROL_05,CHP_ROL_05,CHP_TA_019,OPG,OPG+,,False,
OBS_000076,2024-11-18,2,CHP,CHP_ROL_04,CHP_ROL_04,CHP_TA_006,OPG,OPG+,,False,
OBS_000072,2024-11-18,2,MRA,MRA_ROL_05,MRA_ROL_05,MRA_TA_007,OPG,OPG+,,False,
OBS_000073,2024-11-18,2,MRA,MRA_ROL_06,MRA_ROL_06,MRA_TA_006,OPG,OPG+,,False,
OBS_000074,2024-11-18,2,MRA,MRA_ROL_05,MRA_ROL_05,MRA_TA_006,OPG,OPG-,,False,
OBS_000077,2024-11-18,2,PLC,PLC_ROL_07,PLC_ROL_07,PLC_TA_014,OPG,OPG+,,False,
OBS_000078,2024-11-18,2,PLC,PLC_ROL_02,PLC_ROL_02,PLC_TA_013,OPG,OPG+,,False,
OBS_000079,2024-11-18,2,PLC,PLC_ROL_03,PLC_ROL_03,PLC_TA_005,OPG,OPG+,,False,
OBS_000963,2024-11-18,2,PLC,PLC_ROL_06,PLC_ROL_07,PLC_TA_014,OCC,OCC-,R03,True,R03CP05
OBS_000080,2024-11-18,2,STM,STM_ROL_01,STM_ROL_01,STM_TA_009,OPG,OPG+,,False,
OBS_000081,2024-11-18,2,TME,TME_ROL_05,TME_ROL_05,TME_TA_011,OPG,OPG+,,False,
OBS_000082,2024-11-18,2,TME,TME_ROL_01,TME_ROL_01,TME_TA_009,OPG,OPG+,,False,
OBS_000961,2024-11-18,2,TME,TME_ROL_02,TME_ROL_06,TME_TA_016,OCC,OCC+,R02,True,R02CP01
OBS_000087,2024-11-19,2,CHP,CHP_ROL_03,CHP_ROL_03,CHP_TA_016,OPG,OPG+,,False,
OBS_000960,2024-11-19,2,CHP,CHP_ROL_04,CHP_ROL_05,CHP_TA_010,OCC,OCC-,R02,True,R02CP02
OBS_000083,2024-11-19,2,MRA,MRA_ROL_04,MRA_ROL_04,MRA_TA_002,OPG,OPG+,,False,
OBS_000084,2024-11-19,2,MRA,MRA_ROL_08,MRA_ROL_08,MRA_TA_010,OPG,OPG+,,False,
OBS_000085,2024-11-19,2,MRA,MRA_ROL_05,MRA_ROL_05,MRA_TA_004,OPG,OPG+,,False,
OBS_000086,2024-11-19,2,MRA,MRA_ROL_05,MRA_ROL_05,MRA_TA_012,OPG,OPG+,,False,
OBS_000088,2024-11-19,2,PLC,PLC_ROL_10,PLC_ROL_10,PLC_TA_012,OPG,OPG+,,False,
OBS_000089,2024-11-19,2,PLC,PLC_ROL_09,PLC_ROL_09,PLC_TA_016,OPG,OPG+,,False,
OBS_000090,2024-11-19,2,PLC,PLC_ROL_11,PLC_ROL_11,PLC_TA_007,OPG,OPG+,,False,
OBS_000091,2024-11-19,2,STM,STM_ROL_02,STM_ROL_02,STM_TA_017,OPG,OPG+,,False,
OBS_000092,2024-11-19,2,STM,STM_ROL_06,STM_ROL_06,STM_TA_003,OPG,OPG+,,False,
OBS_000093,2024-11-19,2,STM,STM_ROL_02,STM_ROL_02,STM_TA_002,OPG,OPG+,,False,
OBS_000094,2024-11-19,2,TME,TME_ROL_04,TME_ROL_04,TME_TA_005,OPG,OPG+,,False,
OBS_000095,2024-11-19,2,TME,TME_ROL_08,TME_ROL_08,TME_TA_004,OPG,OPG+,,False,
OBS_000096,2024-11-19,2,TME,TME_ROL_08,TME_ROL_08,TME_TA_003,OPG,OPG+,,False,
OBS_000962,2024-11-19,2,TME,TME_ROL_05,TME_ROL_01,TME_TA_013,OCC,OCC-,R02,True,R02CC04
OBS_000100,2024-11-20,2,CHP,CHP_ROL_01,CHP_ROL_01,CHP_TA_013,OPG,OPG+,,False,
OBS_000101,2024-11-20,2,CHP,CHP_ROL_01,CHP_ROL_01,CHP_TA_007,OPG,OPG+,,False,
OBS_000102,2024-11-20,2,CHP,CHP_ROL_01,CHP_ROL_01,CHP_TA_014,OPG,OPG+,,False,
OBS_000097,2024-11-20,2,MRA,MRA_ROL_01,MRA_ROL_01,MRA_TA_015,OPG,OPG+,,False,
OBS_000098,2024-11-20,2,MRA,MRA_ROL_07,MRA_ROL_07,MRA_TA_015,OPG,OPG+,,False,
OBS_000099,2024-11-20,2,MRA,MRA_ROL_08,MRA_ROL_08,MRA_TA_022,OPG,OPG+,,False,
OBS_000103,2024-11-20,2,PLC,PLC_ROL_09,PLC_ROL_09,PLC_TA_002,OPG,OPG+,,False,
OBS_000104,2024-11-20,2,STM,STM_ROL_08,STM_ROL_08,STM_TA_002,OPG,OPG+,,False,
OBS_000105,2024-11-20,2,TME,TME_ROL_03,TME_ROL_03,TME_TA_014,OPG,OPG+,,False,
OBS_000954,2024-11-20,2,TME,TME_ROL_07,TME_ROL_07,TME_TA_011,OCC,OCC-,R01,True,R01CP06
OBS_000109,2024-11-21,2,CHP,CHP_ROL_09,CHP_ROL_09,CHP_TA_005,OPG,OPG+,,False,
OBS_000110,2024-11-21,2,CHP,CHP_ROL_04,CHP_ROL_04,CHP_TA_001,OPG,OPG+,,False,
OBS_000106,2024-11-21,2,MRA,MRA_ROL_08,MRA_ROL_08,MRA_TA_013,OPG,OPG+,,False,
OBS_000107,2024-11-21,2,MRA,MRA_ROL_03,MRA_ROL_03,MRA_TA_021,OPG,OPG+,,False,
OBS_000108,2024-11-21,2,MRA,MRA_ROL_02,MRA_ROL_02,MRA_TA_006,OPG,OPG+,,False,
OBS_000111,2024-11-21,2,PLC,PLC_ROL_08,PLC_ROL_08,PLC_TA_018,OPG,OPG+,,False,
OBS_000112,2024-11-21,2,PLC,PLC_ROL_07,PLC_ROL_07,PLC_TA_008,OPG,OPG+,,False,
OBS_000956,2024-11-21,2,PLC,PLC_ROL_05,PLC_ROL_10,PLC_TA_001,OCC,OCC+,R01,True,R01CC02
OBS_000113,2024-11-21,2,STM,STM_ROL_03,STM_ROL_03,STM_TA_009,OPG,OPG+,,False,
OBS_000114,2024-11-21,2,STM,STM_ROL_02,STM_ROL_02,STM_TA_002,OPG,OPG+,,False,
OBS_000115,2024-11-21,2,TME,TME_ROL_01,TME_ROL_01,TME_TA_008,OPG,OPG+,,False,
OBS_000116,2024-11-21,2,TME,TME_ROL_02,TME_ROL_02,TME_TA_002,OPG,OPG+,,False,
OBS_000121,2024-11-22,2,CHP,CHP_ROL_06,CHP_ROL_06,CHP_TA_019,OPG,OPG+,,False,
OBS_000122,2024-11-22,2,CHP,CHP_ROL_06,CHP_ROL_06,CHP_TA_008,OPG,OPG+,,False,
OBS_000123,2024-11-22,2,CHP,CHP_ROL_03,CHP_ROL_03,CHP_TA_017,OPG,OPG+,,False,
OBS_000953,2024-11-22,2,CHP,CHP_ROL_09,CHP_ROL_08,CHP_TA_012,OCC,OCC+,R01,True,R01CC06
OBS_000117,2024-11-22,2,MRA,MRA_ROL_01,MRA_ROL_01,MRA_TA_008,OPG,OPG+,,False,
OBS_000118,2024-11-22,2,MRA,MRA_ROL_07,MRA_ROL_07,MRA_TA_015,OPG,OPG+,,False,
OBS_000119,2024-11-22,2,MRA,MRA_ROL_04,MRA_ROL_04,MRA_TA_002,OPG,OPG+,,False,
OBS_000120,2024-11-22,2,MRA,MRA_ROL_05,MRA_ROL_05,MRA_TA_008,OPG,OPG+,,False,
OBS_000950,2024-11-22,2,MRA,MRA_ROL_04,MRA_ROL_04,MRA_TA_017,OCC,OCC-,R01,True,R01CM01
OBS_000952,2024-11-22,2,MRA,MRA_ROL_02,MRA_ROL_03,MRA_TA_006,OCC,OCC+,R01,True,R01CM02
OBS_000955,2024-11-22,2,MRA,MRA_ROL_05,MRA_ROL_06,MRA_TA_015,OCC,OCC+,R01,True,R01CM01
OBS_000957,2024-11-22,2,MRA,MRA_ROL_05,MRA_ROL_04,MRA_TA_007,OCC,OCC-,R01,True,R01CC01
OBS_000965,2024-11-22,2,MRA,MRA_ROL_06,MRA_ROL_04,MRA_TA_005,OCC,OCC+,R03,True,R03CC05
OBS_000124,2024-11-22,2,PLC,PLC_ROL_05,PLC_ROL_05,PLC_TA_002,OPG,OPG+,,False,
OBS_000125,2024-11-22,2,PLC,PLC_ROL_10,PLC_ROL_10,PLC_TA_006,OPG,OPG+,,False,
OBS_000959,2024-11-22,2,PLC,PLC_ROL_08,PLC_ROL_06,PLC_TA_005,OCC,OCC+,R02,True,R02CC02
OBS_000126,2024-11-22,2,STM,STM_ROL_08,STM_ROL_08,STM_TA_002,OPG,OPG+,,False,
OBS_000127,2024-11-22,2,STM,STM_ROL_07,STM_ROL_07,STM_TA_017,OPG,OPG+,,False,
OBS_000128,2024-11-22,2,TME,TME_ROL_07,TME_ROL_07,TME_TA_005,OPG,OPG+,,False,
OBS_000129,2024-11-22,2,TME,TME_ROL_03,TME_ROL_03,TME_TA_016,OPG,OPG+,,False,
OBS_000132,2024-11-23,2,CHP,CHP_ROL_09,CHP_ROL_09,CHP_TA_017,OPG,OPG+,,False,
OBS_000133,2024-11-23,2,CHP,CHP_ROL_04,CHP_ROL_04,CHP_TA_009,OPG,OPG+,,False,
OBS_000130,2024-11-23,2,MRA,MRA_ROL_05,MRA_ROL_05,MRA_TA_005,OPG,OPG+,,False,
OBS_000131,2024-11-23,2,MRA,MRA_ROL_01,MRA_ROL_01,MRA_TA_018,OPG,OPG+,,False,
OBS_000951,2024-11-23,2,MRA,MRA_ROL_07,MRA_ROL_02,MRA_TA_021,OCC,OCC+,R01,True,R01CC06
OBS_000134,2024-11-23,2,PLC,PLC_ROL_02,PLC_ROL_02,PLC_TA_015,OPG,OPG+,,False,
OBS_000135,2024-11-23,2,PLC,PLC_ROL_02,PLC_ROL_02,PLC_TA_018,OPG,OPG+,,False,
OBS_000136,2024-11-23,2,PLC,PLC_ROL_04,PLC_ROL_04,PLC_TA_002,OPG,OPG+,,False,
OBS_000137,2024-11-23,2,STM,STM_ROL_01,STM_ROL_01,STM_TA_003,OPG,OPG+,,False,
OBS_000138,2024-11-23,2,STM,STM_ROL_04,STM_ROL_04,STM_TA_016,OPG,OPG+,,False,
OBS_000139,2024-11-23,2,STM,STM_ROL_06,STM_ROL_06,STM_TA_010,OPG,OPG+,,False,
OBS_000140,2024-11-23,2,TME,TME_ROL_04,TME_ROL_04,TME_TA_007,OPG,OPG+,,False,
OBS_000143,2024-11-24,2,CHP,CHP_ROL_06,CHP_ROL_06,CHP_TA_010,OPG,OPG+,,False,
OBS_000144,2024-11-24,2,CHP,CHP_ROL_09,CHP_ROL_09,CHP_TA_012,OPG,OPG+,,False,
OBS_000145,2024-11-24,2,CHP,CHP_ROL_06,CHP_ROL_06,CHP_TA_017,OPG,OPG+,,False,
OBS_000958,2024-11-24,2,CHP,CHP_ROL_09,CHP_ROL_09,CHP_TA_018,OCC,OCC-,R02,True,R02CP03
OBS_000141,2024-11-24,2,MRA,MRA_ROL_08,MRA_ROL_08,MRA_TA_008,OPG,OPG+,,False,
OBS_000142,2024-11-24,2,MRA,MRA_ROL_04,MRA_ROL_04,MRA_TA_013,OPG,OPG+,,False,
OBS_000964,2024-11-24,2,MRA,MRA_ROL_07,MRA_ROL_01,MRA_TA_010,OCC,OCC-,R03,True,R03CC01
OBS_000146,2024-11-24,2,PLC,PLC_ROL_02,PLC_ROL_02,PLC_TA_016,OPG,OPG+,,False,
OBS_000147,2024-11-24,2,PLC,PLC_ROL_06,PLC_ROL_06,PLC_TA_007,OPG,OPG+,,False,
OBS_000148,2024-11-24,2,STM,STM_ROL_01,STM_ROL_01,STM_TA_019,OPG,OPG+,,False,
OBS_000149,2024-11-24,2,STM,STM_ROL_03,STM_ROL_03,STM_TA_001,OPG,OPG+,,False,
OBS_000150,2024-11-24,2,TME,TME_ROL_07,TME_ROL_07,TME_TA_010,OPG,OPG+,,False,
OBS_000151,2024-11-24,2,TME,TME_ROL_06,TME_ROL_06,TME_TA_008,OPG,OPG+,,False,
OBS_000152,2024-11-24,2,TME,TME_ROL_04,TME_ROL_04,TME_TA_016,OPG,OPG+,,False,
OBS_000157,2024-11-25,3,CHP,CHP_ROL_08,CHP_ROL_08,CHP_TA_006,OPG,OPG+,,False,
OBS_000158,2024-11-25,3,CHP,CHP_ROL_09,CHP_ROL_09,CHP_TA_002,OPG,OPG+,,False,
OBS_000159,2024-11-25,3,CHP,CHP_ROL_02,CHP_ROL_02,CHP_TA_002,OPG,OPG+,,False,
OBS_000153,2024-11-25,3,MRA,MRA_ROL_06,MRA_ROL_06,MRA_TA_009,OPG,OPG+,,False,
OBS_000154,2024-11-25,3,MRA,MRA_ROL_08,MRA_ROL_08,MRA_TA_021,OPG,OPG+,,False,
OBS_000155,2024-11-25,3,MRA,MRA_ROL_08,MRA_ROL_08,MRA_TA_006,OPG,OPG+,,False,
OBS_000156,2024-11-25,3,MRA,MRA_ROL_06,MRA_ROL_06,MRA_TA_006,OPG,OPG+,,False,
OBS_000160,2024-11-25,3,PLC,PLC_ROL_03,PLC_ROL_03,PLC_TA_008,OPG,OPG-,,False,
OBS_000161,2024-11-25,3,PLC,PLC_ROL_03,PLC_ROL_03,PLC_TA_001,OPG,OPG+,,False,
OBS_000162,2024-11-25,3,STM,STM_ROL_06,STM_ROL_06,STM_TA_002,OPG,OPG+,,False,
OBS_000163,2024-11-25,3,STM,STM_ROL_08,STM_ROL_08,STM_TA_016,OPG,OPG-,,False,
OBS_000966,2024-11-25,3,STM,STM_ROL_02,STM_ROL_04,STM_TA_014,OCC,OCC-,R01,True,R01CM03
OBS_000164,2024-11-25,3,TME,TME_ROL_07,TME_ROL_07,TME_TA_001,OPG,OPG-,,False,
OBS_000165,2024-11-25,3,TME,TME_ROL_05,TME_ROL_05,TME_TA_010,OPG,OPG-,,False,
OBS_000166,2024-11-25,3,TME,TME_ROL_07,TME_ROL_07,TME_TA_006,OPG,OPG+,,False,
OBS_000979,2024-11-25,3,TME,TME_ROL_02,TME_ROL_01,TME_TA_010,OCC,OCC+,R03,True,R03CP06
OBS_000169,2024-11-26,3,CHP,CHP_ROL_02,CHP_ROL_02,CHP_TA_012,OPG,OPG+,,False,
OBS_000170,2024-11-26,3,CHP,CHP_ROL_08,CHP_ROL_08,CHP_TA_019,OPG,OPG+,,False,
OBS_000167,2024-11-26,3,MRA,MRA_ROL_03,MRA_ROL_03,MRA_TA_008,OPG,OPG+,,False,
OBS_000168,2024-11-26,3,MRA,MRA_ROL_05,MRA_ROL_05,MRA_TA_012,OPG,OPG+,,False,
OBS_000171,2024-11-26,3,PLC,PLC_ROL_04,PLC_ROL_04,PLC_TA_010,OPG,OPG+,,False,
OBS_000172,2024-11-26,3,PLC,PLC_ROL_02,PLC_ROL_02,PLC_TA_002,OPG,OPG+,,False,
OBS_000173,2024-11-26,3,PLC,PLC_ROL_07,PLC_ROL_07,PLC_TA_013,OPG,OPG+,,False,
OBS_000174,2024-11-26,3,STM,STM_ROL_01,STM_ROL_01,STM_TA_006,OPG,OPG-,,False,
OBS_000974,2024-11-26,3,STM,STM_ROL_02,STM_ROL_01,STM_TA_008,OCC,OCC+,R02,True,R02CC03
OBS_000175,2024-11-26,3,TME,TME_ROL_06,TME_ROL_06,TME_TA_004,OPG,OPG+,,False,
OBS_000176,2024-11-26,3,TME,TME_ROL_01,TME_ROL_01,TME_TA_008,OPG,OPG+,,False,
OBS_000181,2024-11-27,3,CHP,CHP_ROL_03,CHP_ROL_03,CHP_TA_013,OPG,OPG+,,False,
OBS_000182,2024-11-27,3,CHP,CHP_ROL_05,CHP_ROL_05,CHP_TA_006,OPG,OPG+,,False,
OBS_000183,2024-11-27,3,CHP,CHP_ROL_07,CHP_ROL_07,CHP_TA_018,OPG,OPG+,,False,
OBS_000978,2024-11-27,3,CHP,CHP_ROL_01,CHP_ROL_08,CHP_TA_001,OCC,OCC+,R02,True,R02CP03
OBS_000177,2024-11-27,3,MRA,MRA_ROL_08,MRA_ROL_08,MRA_TA_009,OPG,OPG-,,False,
OBS_000178,2024-11-27,3,MRA,MRA_ROL_02,MRA_ROL_02,MRA_TA_022,OPG,OPG+,,False,
OBS_000179,2024-11-27,3,MRA,MRA_ROL_01,MRA_ROL_01,MRA_TA_006,OPG,OPG+,,False,
OBS_000180,2024-11-27,3,MRA,MRA_ROL_06,MRA_ROL_06,MRA_TA_001,OPG,OPG+,,False,
OBS_000972,2024-11-27,3,MRA,MRA_ROL_05,MRA_ROL_03,MRA_TA_012,OCC,OCC+,R01,True,R01CC01
OBS_000184,2024-11-27,3,PLC,PLC_ROL_03,PLC_ROL_03,PLC_TA_003,OPG,OPG+,,False,
OBS_000185,2024-11-27,3,PLC,PLC_ROL_06,PLC_ROL_06,PLC_TA_002,OPG,OPG+,,False,
OBS_000186,2024-11-27,3,PLC,PLC_ROL_04,PLC_ROL_04,PLC_TA_003,OPG,OPG+,,False,
OBS_000187,2024-11-27,3,STM,STM_ROL_07,STM_ROL_07,STM_TA_011,OPG,OPG-,,False,
