id_venta,fecha_venta,id_cliente,total
V072,2025-04-13,CL005,105840.0
V073,2025-04-14,CL009,41920.0
V074,2025-04-15,CL005,62780.0
V075,2025-04-16,CL005,25180.0
V076,2025-04-17,CL003,147630.0
V077,2025-04-18,CL001,113290.0
V078,2025-04-19,CL003,200680.0
V079,2025-04-20,CL010,45120.0
V080,2025-04-21,CL005,137170.0
V081,2025-04-22,CL003,59540.0
V082,2025-04-23,CL007,64050.0
V083,2025-04-24,CL008,19720.0
V084,2025-04-25,CL002,9670.0
V085,2025-04-26,CL001,80120.0
V086,2025-04-27,CL005,41520.0
V087,2025-04-28,CL006,165510.0
V088,2025-04-29,CL005,9480.0
V089,2025-04-30,CL009,53970.0
V090,2025-05-01,CL007,120060.0
V091,2025-05-02,CL005,65620.0
V092,2025-05-03,CL007,13240.0
V093,2025-05-04,CL007,13240.0
V094,2025-05-05,CL001,47180.0
V095,2025-05-06,CL002,16780.0
V096,2025-05-07,CL009,52920.0
V097,2025-05-08,CL008,71180.0
V098,2025-05-09,CL005,68420.0
V099,2025-05-10,CL010,120630.0
V100,2025-05-11,CL009,29580.0
V101,2025-05-12,CL005,103870.0
V102,2025-05-13,CL006,15940.0
V103,2025-05-14,CL007,79100.0
V104,2025-05-15,CL001,202520.0
V105,2025-05-16,CL003,130800.0
V106,2025-05-17,CL010,178580.0
V107,2025-05-18,CL002,60890.0
V108,2025-05-19,CL008,38190.0
V109,2025-05-20,CL006,13240.0
V110,2025-05-21,CL010,54770.0
V111,2025-05-22,CL007,26120.0
V112,2025-05-23,CL005,41540.0
V113,2025-05-24,CL006,67050.0
V114,2025-05-25,CL008,23910.0
V115,2025-05-26,CL001,87470.0
V116,2025-05-27,CL010,92460.0
V117,2025-05-28,CL003,20250.0
V118,2025-05-29,CL008,185590.0
V119,2025-05-30,CL003,9930.0
V120,2025-05-31,CL005,57850.0
V121,2025-06-01,CL007,140810.0
V122,2025-06-02,CL006,26420.0
V123,2025-06-03,CL001,168720.0
V124,2025-06-04,CL005,130390.0
V125,2025-06-05,CL004,73830.0
V126,2025-06-06,CL009,190640.0
V127,2025-06-07,CL007,27000.0
V128,2025-06-08,CL004,62850.0
V129,2025-06-09,CL004,8320.0
V130,2025-06-10,CL004,20250.0
V131,2025-06-11,CL004,59540.0
V132,2025-06-12,CL004,44940.0
V133,2025-06-13,CL003,77910.0
V134,2025-06-14,CL004,41070.0
V135,2025-06-15,CL007,105840.0
V136,2025-06-16,CL008,173700.0
V137,2025-06-17,CL009,126810.0
V138,2025-06-18,CL008,78190.0
V139,2025-06-19,CL010,50050.0
V140,2025-06-20,CL002,49220.0
V141,2025-06-21,CL006,229190.0
V142,2025-06-22,CL006,61240.0
V143,2025-06-23,CL002,
V144,2025-06-24,CL009,190640.0
V145,2025-06-25,CL005,158760.0
V146,2025-06-26,CL008,
V147,2025-06-27,CL002,60370.0
V148,2025-06-28,CL010,42150.0
V149,2025-06-29,CL001,26420.0
V150,2025-06-30,CL001,63320.0
